abseil-cpp 20250512.1-1
accounts-qml-module 0.7-6
accountsservice 23.13.9-2
acl 2.3.2-1
adwaita-cursors 48.1-1
adwaita-fonts 49.0-2
adwaita-icon-theme 48.1-1
adwaita-icon-theme-legacy 46.2-3
alsa-card-profiles 1:1.4.6-1
alsa-lib 1.2.14-1
alsa-plugins 1:1.2.12-4
alsa-topology-conf 1.2.5.1-4
alsa-ucm-conf 1.2.14-2
aom 3.12.1-1
apple-music-desktop 2.1.2-1
appstream 1.0.5-2
appstream-qt 1.0.5-2
aquamarine 0.9.2-1
archlinux-keyring 20250716-1
archlinux-xdg-menu 0.7.6.6-2
at-spi2-core 2.56.3-1
atkmm 2.28.4-1
attica 6.16.0-1
attr 2.5.2-1
audit 4.0.5-1
aurorae 6.4.3-1
aurutils 20.5.2-1
autoconf 2.72-1
automake 1.18.1-1
avahi 1:0.8+r194+g3f79789-3
ayatana-ido 0.10.4-1
base 3-2
base-devel 1-2
bash 5.3.0-1
bibata-cursor-theme-bin 2.0.7-1
binutils 2.44+r94+gfe459e33c676-1
bison 3.8.2-8
blueman 2.4.6-1
bluez 5.83-1
bluez-libs 5.83-1
bluez-utils 5.83-1
botan2 2.19.5-2
breeze 6.4.3-1
breeze-icons 6.16.0-1
brotli 1.1.0-3
bubblewrap 0.11.0-1
bzip2 1.0.8-6
c-ares 1.34.5-1
ca-certificates 20240618-1
ca-certificates-mozilla 3.113.1-1
ca-certificates-utils 20240618-1
cairo 1.18.4-1
cairomm 1.14.5-1
cfitsio 1:4.6.2-1
checkupdates-with-aur 1.0-1
cifs-utils 7.4-1
composefs 1.0.8-1
convertlit 1.8-12
coreutils 9.7-1
cowsay 3.8.4-1
cronie 1.7.2-1
cryptsetup 2.8.0-1
curl 8.15.0-1
dav1d 1.5.1-1
db5.3 5.3.28-5
dbus 1.16.2-1
dbus-broker 37-2
dbus-broker-units 37-2
dbus-glib 0.114-1
dbus-units 37-2
dconf 0.40.0-3
debugedit 5.2-1
default-cursors 3-1
desktop-file-utils 0.28-1
device-mapper 2.03.33-1
diffutils 3.12-2
dkms 3.2.1-1
dotnet-host 9.0.5.sdk106-1
dotnet-runtime 9.0.5.sdk106-1
double-conversion 3.3.1-1
duktape 2.7.0-7
dunst 1.12.2-1
e2fsprogs 1.47.3-1
ebook-tools 0.2.2-9
editorconfig-core-c 0.12.9-1
efibootmgr 18-3
efivar 39-1
egl-gbm 1.1.2.1-1
egl-wayland 4:1.1.19-1
egl-x11 1.0.2-1
eglexternalplatform 1.2.1-1
electron 1:36-1
electron27 27.3.11-10
electron36 36.7.1-1
ell 0.78-1
enchant 2.8.10-1
exempi 2.6.6-1
exiv2 0.28.5-1
expat 2.7.1-1
fakeroot 1.37.1.2-1
fastfetch 2.48.0-1
ffmpeg 2:7.1.1-5
ffmpegthumbnailer 2.2.3-3
fftw 3.3.10-7
figlet 2.2.5-6
file 5.46-4
filesystem 2025.05.03-1
findutils 4.10.0-3
firefox 140.0.4-1
firewalld 2.3.1-1
flac 1.5.0-1
flatpak 1:1.16.1-1
flex 2.6.4-5
fmt 11.2.0-1
fontconfig 2:2.17.1-1
frameworkintegration 6.16.0-1
freetype2 2.13.3-3
fretboard 9.1-1
fribidi 1.0.16-2
fuse-common 3.17.1-1
fuse2 2.9.9-5
fuse3 3.17.1-1
fzf 0.64.0-1
gawk 5.3.2-1
gc 8.2.8-2
gcc 15.1.1+r7+gf36ec88aa85a-1
gcc-libs 15.1.1+r7+gf36ec88aa85a-1
gcr-4 4.4.0.1-1
gdbm 1.25-1
gdk-pixbuf2 2.42.12-2
geocode-glib-2 3.26.4-4
geocode-glib-common 3.26.4-4
gettext 0.25.1-1
giflib 5.2.2-2
git 2.50.1-3
glib-networking 1:2.80.1-1
glib2 2.84.3-1
glibc 2.41+r48+g5cb575ca9a3d-1
glibmm 2.66.8-1
glslang 1:1.4.321.0-1
glu 9.0.3-2
glycin 1.2.2-1
gmp 6.3.0-2
gnome-autoar 0.4.5-1
gnome-calculator 48.1-2
gnome-desktop-4 1:44.3-1
gnome-desktop-common 1:44.3-1
gnome-text-editor 48.3-1
gnu-free-fonts 20120503-8
gnulib-l10n 20241231-1
gnupg 2.4.8-1
gnutls 3.8.10-1
gobject-introspection-runtime 1.84.0-2
gperftools 2.16-1
gpgme 2.0.0-1
gpgmepp 2.0.0-2
gpm 1.20.7.r38.ge82d1a6-6
gpsd 3.26.1-2
granite7 7.6.0-1
graphene 1.10.8-2
graphite 1:1.3.14-5
grep 3.12-2
groff 1.23.0-7
